,state_id,area_type,age_group_of_head,marital_status,male,female
5117,26,Rural,70-79,Divorced,5,3
5118,26,Rural,80+,Divorced,0,0
5119,26,Rural,Age Not Stated,Divorced,0,0
5120,26,Urban,All Ages,Divorced,140,55
5121,26,Urban,Less than 20,Divorced,2,0
5122,26,Urban,20-29,Divorced,35,5
5123,26,Urban,30-39,Divorced,54,28
5124,26,Urban,40-49,Divorced,25,18
5125,26,Urban,50-59,Divorced,14,3
5126,26,Urban,60-69,Divorced,7,1
5127,26,Urban,70-79,Divorced,2,0
5128,26,Urban,80+,Divorced,1,0
5129,26,Urban,Age Not Stated,Divorced,0,0
5130,27,Total,All Ages,Divorced,51332,113705
5131,27,Total,Less than 20,Divorced,265,389
5132,27,Total,20-29,Divorced,3810,7761
5133,27,Total,30-39,Divorced,11476,31851
5134,27,Total,40-49,Divorced,14697,36840
5135,27,Total,50-59,Divorced,9956,20138
5136,27,Total,60-69,Divorced,6838,12452
5137,27,Total,70-79,Divorced,3056,3241
5138,27,Total,80+,Divorced,905,690
5139,27,Total,Age Not Stated,Divorced,329,343
5140,27,Rural,All Ages,Divorced,31048,73592
5141,27,Rural,Less than 20,Divorced,141,233
5142,27,Rural,20-29,Divorced,2010,5027
5143,27,Rural,30-39,Divorced,6702,20489
5144,27,Rural,40-49,Divorced,8853,23161
5145,27,Rural,50-59,Divorced,5960,12892
5146,27,Rural,60-69,Divorced,4467,8801
5147,27,Rural,70-79,Divorced,2152,2343
5148,27,Rural,80+,Divorced,587,438
5149,27,Rural,Age Not Stated,Divorced,176,208
5150,27,Urban,All Ages,Divorced,20284,40113
5151,27,Urban,Less than 20,Divorced,124,156
5152,27,Urban,20-29,Divorced,1800,2734
5153,27,Urban,30-39,Divorced,4774,11362
5154,27,Urban,40-49,Divorced,5844,13679
5155,27,Urban,50-59,Divorced,3996,7246
5156,27,Urban,60-69,Divorced,2371,3651
5157,27,Urban,70-79,Divorced,904,898
5158,27,Urban,80+,Divorced,318,252
5159,27,Urban,Age Not Stated,Divorced,153,135
5160,28,Total,All Ages,Divorced,49550,139827
5161,28,Total,Less than 20,Divorced,111,380
5162,28,Total,20-29,Divorced,3218,15963
5163,28,Total,30-39,Divorced,11035,46107
5164,28,Total,40-49,Divorced,14670,41355
5165,28,Total,50-59,Divorced,9831,20092
5166,28,Total,60-69,Divorced,7356,12563
5167,28,Total,70-79,Divorced,2452,2212
5168,28,Total,80+,Divorced,550,494
5169,28,Total,Age Not Stated,Divorced,327,661
5170,28,Rural,All Ages,Divorced,38223,106056
5171,28,Rural,Less than 20,Divorced,64,295
5172,28,Rural,20-29,Divorced,2388,12262
5173,28,Rural,30-39,Divorced,8293,34864
5174,28,Rural,40-49,Divorced,11214,30900
5175,28,Rural,50-59,Divorced,7570,15272
5176,28,Rural,60-69,Divorced,6024,9919
5177,28,Rural,70-79,Divorced,2042,1760
5178,28,Rural,80+,Divorced,426,348
5179,28,Rural,Age Not Stated,Divorced,202,436
5180,28,Urban,All Ages,Divorced,11327,33771
5181,28,Urban,Less than 20,Divorced,47,85
5182,28,Urban,20-29,Divorced,830,3701
5183,28,Urban,30-39,Divorced,2742,11243
5184,28,Urban,40-49,Divorced,3456,10455
5185,28,Urban,50-59,Divorced,2261,4820
5186,28,Urban,60-69,Divorced,1332,2644
5187,28,Urban,70-79,Divorced,410,452
5188,28,Urban,80+,Divorced,124,146
5189,28,Urban,Age Not Stated,Divorced,125,225
5190,29,Total,All Ages,Divorced,24086,74865
5191,29,Total,Less than 20,Divorced,72,159
5192,29,Total,20-29,Divorced,1216,5032
5193,29,Total,30-39,Divorced,4578,20825
5194,29,Total,40-49,Divorced,7120,25590
5195,29,Total,50-59,Divorced,5260,13773
5196,29,Total,60-69,Divorced,3837,7527
5197,29,Total,70-79,Divorced,1555,1560
5198,29,Total,80+,Divorced,427,356
5199,29,Total,Age Not Stated,Divorced,21,43
5200,29,Rural,All Ages,Divorced,17106,54043
5201,29,Rural,Less than 20,Divorced,40,96
5202,29,Rural,20-29,Divorced,645,3453
5203,29,Rural,30-39,Divorced,2980,14781
5204,29,Rural,40-49,Divorced,5124,18498
5205,29,Rural,50-59,Divorced,3781,10070
5206,29,Rural,60-69,Divorced,2985,5691
5207,29,Rural,70-79,Divorced,1196,1170
5208,29,Rural,80+,Divorced,341,253
5209,29,Rural,Age Not Stated,Divorced,14,31
5210,29,Urban,All Ages,Divorced,6980,20822
5211,29,Urban,Less than 20,Divorced,32,63
5212,29,Urban,20-29,Divorced,571,1579
5213,29,Urban,30-39,Divorced,1598,6044
5214,29,Urban,40-49,Divorced,1996,7092
5215,29,Urban,50-59,Divorced,1479,3703
5216,29,Urban,60-69,Divorced,852,1836
5217,29,Urban,70-79,Divorced,359,390
5218,29,Urban,80+,Divorced,86,103
5219,29,Urban,Age Not Stated,Divorced,7,12
5220,30,Total,All Ages,Divorced,449,846
5221,30,Total,Less than 20,Divorced,2,3
5222,30,Total,20-29,Divorced,9,45
5223,30,Total,30-39,Divorced,62,172
5224,30,Total,40-49,Divorced,121,272
5225,30,Total,50-59,Divorced,117,190
5226,30,Total,60-69,Divorced,88,137
5227,30,Total,70-79,Divorced,38,20
5228,30,Total,80+,Divorced,11,7
5229,30,Total,Age Not Stated,Divorced,1,0
5230,30,Rural,All Ages,Divorced,202,334
5231,30,Rural,Less than 20,Divorced,2,0
5232,30,Rural,20-29,Divorced,4,15
5233,30,Rural,30-39,Divorced,27,62
5234,30,Rural,40-49,Divorced,53,84
5235,30,Rural,50-59,Divorced,49,86
5236,30,Rural,60-69,Divorced,37,73
5237,30,Rural,70-79,Divorced,22,13
5238,30,Rural,80+,Divorced,8,1
5239,30,Rural,Age Not Stated,Divorced,0,0
5240,30,Urban,All Ages,Divorced,247,512
5241,30,Urban,Less than 20,Divorced,0,3
5242,30,Urban,20-29,Divorced,5,30
5243,30,Urban,30-39,Divorced,35,110
5244,30,Urban,40-49,Divorced,68,188
5245,30,Urban,50-59,Divorced,68,104
5246,30,Urban,60-69,Divorced,51,64
5247,30,Urban,70-79,Divorced,16,7
5248,30,Urban,80+,Divorced,3,6
5249,30,Urban,Age Not Stated,Divorced,1,0
5250,31,Total,All Ages,Divorced,20,84
5251,31,Total,Less than 20,Divorced,0,0
5252,31,Total,20-29,Divorced,0,0
5253,31,Total,30-39,Divorced,3,12
5254,31,Total,40-49,Divorced,4,23
5255,31,Total,50-59,Divorced,8,23
5256,31,Total,60-69,Divorced,4,19
5257,31,Total,70-79,Divorced,0,7
5258,31,Total,80+,Divorced,1,0
5259,31,Total,Age Not Stated,Divorced,0,0
5260,31,Rural,All Ages,Divorced,9,14
5261,31,Rural,Less than 20,Divorced,0,0
5262,31,Rural,20-29,Divorced,0,0
5263,31,Rural,30-39,Divorced,1,3
5264,31,Rural,40-49,Divorced,3,4
5265,31,Rural,50-59,Divorced,3,5
5266,31,Rural,60-69,Divorced,2,1
5267,31,Rural,70-79,Divorced,0,1
5268,31,Rural,80+,Divorced,0,0
5269,31,Rural,Age Not Stated,Divorced,0,0
5270,31,Urban,All Ages,Divorced,11,70
5271,31,Urban,Less than 20,Divorced,0,0
5272,31,Urban,20-29,Divorced,0,0
5273,31,Urban,30-39,Divorced,2,9
5274,31,Urban,40-49,Divorced,1,19
5275,31,Urban,50-59,Divorced,5,18
5276,31,Urban,60-69,Divorced,2,18
5277,31,Urban,70-79,Divorced,0,6
5278,31,Urban,80+,Divorced,1,0
5279,31,Urban,Age Not Stated,Divorced,0,0
5280,32,Total,All Ages,Divorced,18607,81451
5281,32,Total,Less than 20,Divorced,14,66
5282,32,Total,20-29,Divorced,222,1088
5283,32,Total,30-39,Divorced,2203,12416
5284,32,Total,40-49,Divorced,5686,30010
5285,32,Total,50-59,Divorced,5415,24260
5286,32,Total,60-69,Divorced,3350,10508
5287,32,Total,70-79,Divorced,1328,2571
5288,32,Total,80+,Divorced,357,478
5289,32,Total,Age Not Stated,Divorced,32,54
5290,32,Rural,All Ages,Divorced,11815,50805
5291,32,Rural,Less than 20,Divorced,9,38
5292,32,Rural,20-29,Divorced,166,758
5293,32,Rural,30-39,Divorced,1444,8295
5294,32,Rural,40-49,Divorced,3636,18836
5295,32,Rural,50-59,Divorced,3402,14855
5296,32,Rural,60-69,Divorced,2096,6207
5297,32,Rural,70-79,Divorced,821,1508
5298,32,Rural,80+,Divorced,224,276
5299,32,Rural,Age Not Stated,Divorced,17,32
5300,32,Urban,All Ages,Divorced,6792,30646
5301,32,Urban,Less than 20,Divorced,5,28
5302,32,Urban,20-29,Divorced,56,330
5303,32,Urban,30-39,Divorced,759,4121
5304,32,Urban,40-49,Divorced,2050,11174
5305,32,Urban,50-59,Divorced,2013,9405
5306,32,Urban,60-69,Divorced,1254,4301
5307,32,Urban,70-79,Divorced,507,1063
5308,32,Urban,80+,Divorced,133,202
5309,32,Urban,Age Not Stated,Divorced,15,22
5310,33,Total,All Ages,Divorced,44247,128170
5311,33,Total,Less than 20,Divorced,65,157
5312,33,Total,20-29,Divorced,1442,5541
5313,33,Total,30-39,Divorced,7677,30939
5314,33,Total,40-49,Divorced,13506,44576
5315,33,Total,50-59,Divorced,10624,27588
5316,33,Total,60-69,Divorced,7120,14123
5317,33,Total,70-79,Divorced,2915,4219
5318,33,Total,80+,Divorced,847,949
5319,33,Total,Age Not Stated,Divorced,51,78
5320,33,Rural,All Ages,Divorced,24831,67633
5321,33,Rural,Less than 20,Divorced,33,77
5322,33,Rural,20-29,Divorced,813,3122
5323,33,Rural,30-39,Divorced,4214,16634
5324,33,Rural,40-49,Divorced,7332,23004
5325,33,Rural,50-59,Divorced,5920,14207
5326,33,Rural,60-69,Divorced,4201,7692
5327,33,Rural,70-79,Divorced,1787,2351
5328,33,Rural,80+,Divorced,506,503
5329,33,Rural,Age Not Stated,Divorced,25,43
5330,33,Urban,All Ages,Divorced,19416,60537
5331,33,Urban,Less than 20,Divorced,32,80
5332,33,Urban,20-29,Divorced,629,2419
5333,33,Urban,30-39,Divorced,3463,14305
5334,33,Urban,40-49,Divorced,6174,21572
5335,33,Urban,50-59,Divorced,4704,13381
5336,33,Urban,60-69,Divorced,2919,6431
5337,33,Urban,70-79,Divorced,1128,1868
5338,33,Urban,80+,Divorced,341,446
5339,33,Urban,Age Not Stated,Divorced,26,35
5340,34,Total,All Ages,Divorced,585,2622
5341,34,Total,Less than 20,Divorced,1,5
5342,34,Total,20-29,Divorced,23,125
5343,34,Total,30-39,Divorced,101,740
5344,34,Total,40-49,Divorced,186,976
5345,34,Total,50-59,Divorced,146,505
5346,34,Total,60-69,Divorced,74,198
5347,34,Total,70-79,Divorced,40,63
5348,34,Total,80+,Divorced,14,9
5349,34,Total,Age Not Stated,Divorced,0,1
5350,34,Rural,All Ages,Divorced,194,722
5351,34,Rural,Less than 20,Divorced,1,0
5352,34,Rural,20-29,Divorced,11,37
5353,34,Rural,30-39,Divorced,37,222
5354,34,Rural,40-49,Divorced,61,263
5355,34,Rural,50-59,Divorced,38,136
5356,34,Rural,60-69,Divorced,26,47
5357,34,Rural,70-79,Divorced,16,14
5358,34,Rural,80+,Divorced,4,3
5359,34,Rural,Age Not Stated,Divorced,0,0
5360,34,Urban,All Ages,Divorced,391,1900
5361,34,Urban,Less than 20,Divorced,0,5
5362,34,Urban,20-29,Divorced,12,88
5363,34,Urban,30-39,Divorced,64,518
5364,34,Urban,40-49,Divorced,125,713
5365,34,Urban,50-59,Divorced,108,369
5366,34,Urban,60-69,Divorced,48,151
5367,34,Urban,70-79,Divorced,24,49
5368,34,Urban,80+,Divorced,10,6
5369,34,Urban,Age Not Stated,Divorced,0,1
5370,35,Total,All Ages,Divorced,433,452
5371,35,Total,Less than 20,Divorced,0,0
5372,35,Total,20-29,Divorced,21,34
5373,35,Total,30-39,Divorced,80,138
5374,35,Total,40-49,Divorced,121,157
5375,35,Total,50-59,Divorced,106,77
5376,35,Total,60-69,Divorced,67,39
5377,35,Total,70-79,Divorced,28,7
5378,35,Total,80+,Divorced,10,0
5379,35,Total,Age Not Stated,Divorced,0,0
5380,35,Rural,All Ages,Divorced,336,317
5381,35,Rural,Less than 20,Divorced,0,0
5382,35,Rural,20-29,Divorced,9,22
5383,35,Rural,30-39,Divorced,55,90
5384,35,Rural,40-49,Divorced,93,112
5385,35,Rural,50-59,Divorced,89,60
5386,35,Rural,60-69,Divorced,56,28
5387,35,Rural,70-79,Divorced,25,5
5388,35,Rural,80+,Divorced,9,0
5389,35,Rural,Age Not Stated,Divorced,0,0
5390,35,Urban,All Ages,Divorced,97,135
5391,35,Urban,Less than 20,Divorced,0,0
5392,35,Urban,20-29,Divorced,12,12
5393,35,Urban,30-39,Divorced,25,48
5394,35,Urban,40-49,Divorced,28,45
5395,35,Urban,50-59,Divorced,17,17
5396,35,Urban,60-69,Divorced,11,11
5397,35,Urban,70-79,Divorced,3,2
5398,35,Urban,80+,Divorced,1,0
5399,35,Urban,Age Not Stated,Divorced,0,0
5400,0,Total,All Ages,Separated,168896,259564
5401,0,Total,Less than 20,Separated,849,991
5402,0,Total,20-29,Separated,16756,21644
5403,0,Total,30-39,Separated,45199,71706
5404,0,Total,40-49,Separated,49642,83219
5405,0,Total,50-59,Separated,30705,48298
5406,0,Total,60-69,Separated,16991,24505
5407,0,Total,70-79,Separated,6176,6639
5408,0,Total,80+,Separated,1889,1924
5409,0,Total,Age Not Stated,Separated,689,638
5410,0,Rural,All Ages,Separated,113927,165516
5411,0,Rural,Less than 20,Separated,624,691
5412,0,Rural,20-29,Separated,12835,15204
5413,0,Rural,30-39,Separated,31423,46293
5414,0,Rural,40-49,Separated,32415,52071
5415,0,Rural,50-59,Separated,19200,29554
5416,0,Rural,60-69,Separated,11417,15946
5417,0,Rural,70-79,Separated,4279,4206
5418,0,Rural,80+,Separated,1285,1157
5419,0,Rural,Age Not Stated,Separated,449,394
5420,0,Urban,All Ages,Separated,54969,94048
5421,0,Urban,Less than 20,Separated,225,300
5422,0,Urban,20-29,Separated,3921,6440
5423,0,Urban,30-39,Separated,13776,25413
5424,0,Urban,40-49,Separated,17227,31148
5425,0,Urban,50-59,Separated,11505,18744
5426,0,Urban,60-69,Separated,5574,8559
5427,0,Urban,70-79,Separated,1897,2433
5428,0,Urban,80+,Separated,604,767
5429,0,Urban,Age Not Stated,Separated,240,244
5430,1,Total,All Ages,Separated,3001,1814
5431,1,Total,Less than 20,Separated,16,2
5432,1,Total,20-29,Separated,208,89
5433,1,Total,30-39,Separated,687,394
5434,1,Total,40-49,Separated,821,633
5435,1,Total,50-59,Separated,613,401
5436,1,Total,60-69,Separated,371,207
5437,1,Total,70-79,Separated,224,66
5438,1,Total,80+,Separated,57,22
5439,1,Total,Age Not Stated,Separated,4,0
5440,1,Rural,All Ages,Separated,2441,1186
5441,1,Rural,Less than 20,Separated,13,2
5442,1,Rural,20-29,Separated,190,61
5443,1,Rural,30-39,Separated,578,252
5444,1,Rural,40-49,Separated,637,416
5445,1,Rural,50-59,Separated,482,256
5446,1,Rural,60-69,Separated,306,137
5447,1,Rural,70-79,Separated,187,50
5448,1,Rural,80+,Separated,44,12
5449,1,Rural,Age Not Stated,Separated,4,0
5450,1,Urban,All Ages,Separated,560,628
5451,1,Urban,Less than 20,Separated,3,0
5452,1,Urban,20-29,Separated,18,28
5453,1,Urban,30-39,Separated,109,142
5454,1,Urban,40-49,Separated,184,217
5455,1,Urban,50-59,Separated,131,145
5456,1,Urban,60-69,Separated,65,70
5457,1,Urban,70-79,Separated,37,16
5458,1,Urban,80+,Separated,13,10
5459,1,Urban,Age Not Stated,Separated,0,0
5460,2,Total,All Ages,Separated,1499,1719
5461,2,Total,Less than 20,Separated,3,0
5462,2,Total,20-29,Separated,45,60
5463,2,Total,30-39,Separated,257,355
5464,2,Total,40-49,Separated,432,569
5465,2,Total,50-59,Separated,378,430
5466,2,Total,60-69,Separated,245,222
5467,2,Total,70-79,Separated,102,66
5468,2,Total,80+,Separated,37,13
5469,2,Total,Age Not Stated,Separated,0,4
5470,2,Rural,All Ages,Separated,1367,1455
5471,2,Rural,Less than 20,Separated,3,0
5472,2,Rural,20-29,Separated,44,48
5473,2,Rural,30-39,Separated,233,281
5474,2,Rural,40-49,Separated,397,477
5475,2,Rural,50-59,Separated,333,372
5476,2,Rural,60-69,Separated,230,198
5477,2,Rural,70-79,Separated,94,62
5478,2,Rural,80+,Separated,33,13
5479,2,Rural,Age Not Stated,Separated,0,4
5480,2,Urban,All Ages,Separated,132,264
5481,2,Urban,Less than 20,Separated,0,0
5482,2,Urban,20-29,Separated,1,12
5483,2,Urban,30-39,Separated,24,74
5484,2,Urban,40-49,Separated,35,92
5485,2,Urban,50-59,Separated,45,58
5486,2,Urban,60-69,Separated,15,24
5487,2,Urban,70-79,Separated,8,4
5488,2,Urban,80+,Separated,4,0
5489,2,Urban,Age Not Stated,Separated,0,0
5490,3,Total,All Ages,Separated,6701,3057
5491,3,Total,Less than 20,Separated,16,5
5492,3,Total,20-29,Separated,550,204
5493,3,Total,30-39,Separated,1846,833
5494,3,Total,40-49,Separated,2126,972
5495,3,Total,50-59,Separated,1240,548
5496,3,Total,60-69,Separated,656,351
5497,3,Total,70-79,Separated,194,99
5498,3,Total,80+,Separated,67,39
5499,3,Total,Age Not Stated,Separated,6,6
5500,3,Rural,All Ages,Separated,4404,1236
5501,3,Rural,Less than 20,Separated,11,0
5502,3,Rural,20-29,Separated,364,65
5503,3,Rural,30-39,Separated,1192,264
5504,3,Rural,40-49,Separated,1383,354
5505,3,Rural,50-59,Separated,807,270
5506,3,Rural,60-69,Separated,446,192
5507,3,Rural,70-79,Separated,145,61
5508,3,Rural,80+,Separated,50,24
5509,3,Rural,Age Not Stated,Separated,6,6
5510,3,Urban,All Ages,Separated,2297,1821
5511,3,Urban,Less than 20,Separated,5,5
5512,3,Urban,20-29,Separated,186,139
5513,3,Urban,30-39,Separated,654,569
5514,3,Urban,40-49,Separated,743,618
5515,3,Urban,50-59,Separated,433,278
5516,3,Urban,60-69,Separated,210,159
5517,3,Urban,70-79,Separated,49,38
5518,3,Urban,80+,Separated,17,15
5519,3,Urban,Age Not Stated,Separated,0,0
5520,4,Total,All Ages,Separated,210,273
5521,4,Total,Less than 20,Separated,0,0
5522,4,Total,20-29,Separated,9,17
5523,4,Total,30-39,Separated,66,70
5524,4,Total,40-49,Separated,60,91
5525,4,Total,50-59,Separated,43,57
5526,4,Total,60-69,Separated,24,28
5527,4,Total,70-79,Separated,7,7
5528,4,Total,80+,Separated,1,3
5529,4,Total,Age Not Stated,Separated,0,0
5530,4,Rural,All Ages,Separated,4,1
5531,4,Rural,Less than 20,Separated,0,0
5532,4,Rural,20-29,Separated,0,0
5533,4,Rural,30-39,Separated,3,1
5534,4,Rural,40-49,Separated,1,0
5535,4,Rural,50-59,Separated,0,0
5536,4,Rural,60-69,Separated,0,0
5537,4,Rural,70-79,Separated,0,0
5538,4,Rural,80+,Separated,0,0
5539,4,Rural,Age Not Stated,Separated,0,0
5540,4,Urban,All Ages,Separated,206,272
5541,4,Urban,Less than 20,Separated,0,0
5542,4,Urban,20-29,Separated,9,17
5543,4,Urban,30-39,Separated,63,69
5544,4,Urban,40-49,Separated,59,91
5545,4,Urban,50-59,Separated,43,57
5546,4,Urban,60-69,Separated,24,28
5547,4,Urban,70-79,Separated,7,7
5548,4,Urban,80+,Separated,1,3
5549,4,Urban,Age Not Stated,Separated,0,0
5550,5,Total,All Ages,Separated,831,964
5551,5,Total,Less than 20,Separated,2,3
5552,5,Total,20-29,Separated,67,72
5553,5,Total,30-39,Separated,209,256
5554,5,Total,40-49,Separated,234,272
5555,5,Total,50-59,Separated,165,215
5556,5,Total,60-69,Separated,110,99
5557,5,Total,70-79,Separated,34,31
5558,5,Total,80+,Separated,9,13
5559,5,Total,Age Not Stated,Separated,1,3
5560,5,Rural,All Ages,Separated,527,518
5561,5,Rural,Less than 20,Separated,2,1
5562,5,Rural,20-29,Separated,47,43
5563,5,Rural,30-39,Separated,138,120
5564,5,Rural,40-49,Separated,149,148
5565,5,Rural,50-59,Separated,100,119
5566,5,Rural,60-69,Separated,65,58
5567,5,Rural,70-79,Separated,19,21
5568,5,Rural,80+,Separated,6,7
5569,5,Rural,Age Not Stated,Separated,1,1
5570,5,Urban,All Ages,Separated,304,446
5571,5,Urban,Less than 20,Separated,0,2
5572,5,Urban,20-29,Separated,20,29
5573,5,Urban,30-39,Separated,71,136
5574,5,Urban,40-49,Separated,85,124
5575,5,Urban,50-59,Separated,65,96
5576,5,Urban,60-69,Separated,45,41
5577,5,Urban,70-79,Separated,15,10
5578,5,Urban,80+,Separated,3,6
5579,5,Urban,Age Not Stated,Separated,0,2
5580,6,Total,All Ages,Separated,2850,1544
5581,6,Total,Less than 20,Separated,5,6
5582,6,Total,20-29,Separated,341,104
5583,6,Total,30-39,Separated,936,457
5584,6,Total,40-49,Separated,853,462
5585,6,Total,50-59,Separated,421,306
5586,6,Total,60-69,Separated,207,158
5587,6,Total,70-79,Separated,68,35
5588,6,Total,80+,Separated,18,14
5589,6,Total,Age Not Stated,Separated,1,2
5590,6,Rural,All Ages,Separated,1710,502
5591,6,Rural,Less than 20,Separated,3,2
5592,6,Rural,20-29,Separated,241,27
5593,6,Rural,30-39,Separated,608,130
5594,6,Rural,40-49,Separated,487,151
5595,6,Rural,50-59,Separated,213,99
5596,6,Rural,60-69,Separated,107,70
5597,6,Rural,70-79,Separated,38,16
5598,6,Rural,80+,Separated,13,6
5599,6,Rural,Age Not Stated,Separated,0,1
5600,6,Urban,All Ages,Separated,1140,1042
5601,6,Urban,Less than 20,Separated,2,4
5602,6,Urban,20-29,Separated,100,77
5603,6,Urban,30-39,Separated,328,327
5604,6,Urban,40-49,Separated,366,311
5605,6,Urban,50-59,Separated,208,207
5606,6,Urban,60-69,Separated,100,88
5607,6,Urban,70-79,Separated,30,19
5608,6,Urban,80+,Separated,5,8
5609,6,Urban,Age Not Stated,Separated,1,1
5610,7,Total,All Ages,Separated,1893,2784
5611,7,Total,Less than 20,Separated,2,4
5612,7,Total,20-29,Separated,133,149
5613,7,Total,30-39,Separated,461,715
5614,7,Total,40-49,Separated,595,1006
5615,7,Total,50-59,Separated,422,602
5616,7,Total,60-69,Separated,200,249
5617,7,Total,70-79,Separated,65,53
5618,7,Total,80+,Separated,11,6
5619,7,Total,Age Not Stated,Separated,4,0
5620,7,Rural,All Ages,Separated,35,27
5621,7,Rural,Less than 20,Separated,0,0
5622,7,Rural,20-29,Separated,4,1
5623,7,Rural,30-39,Separated,10,12
5624,7,Rural,40-49,Separated,12,8
5625,7,Rural,50-59,Separated,4,1
5626,7,Rural,60-69,Separated,3,5
5627,7,Rural,70-79,Separated,0,0
5628,7,Rural,80+,Separated,2,0
5629,7,Rural,Age Not Stated,Separated,0,0
5630,7,Urban,All Ages,Separated,1858,2757
5631,7,Urban,Less than 20,Separated,2,4
5632,7,Urban,20-29,Separated,129,148
5633,7,Urban,30-39,Separated,451,703
5634,7,Urban,40-49,Separated,583,998
5635,7,Urban,50-59,Separated,418,601
5636,7,Urban,60-69,Separated,197,244
5637,7,Urban,70-79,Separated,65,53
5638,7,Urban,80+,Separated,9,6
5639,7,Urban,Age Not Stated,Separated,4,0
5640,8,Total,All Ages,Separated,6059,5016
5641,8,Total,Less than 20,Separated,33,21
5642,8,Total,20-29,Separated,963,498
5643,8,Total,30-39,Separated,1849,1525
5644,8,Total,40-49,Separated,1721,1612
5645,8,Total,50-59,Separated,856,847
5646,8,Total,60-69,Separated,431,362
5647,8,Total,70-79,Separated,147,110
5648,8,Total,80+,Separated,39,18
5649,8,Total,Age Not Stated,Separated,20,23
5650,8,Rural,All Ages,Separated,4146,2429
5651,8,Rural,Less than 20,Separated,28,12
5652,8,Rural,20-29,Separated,764,235
5653,8,Rural,30-39,Separated,1263,764
5654,8,Rural,40-49,Separated,1129,757
5655,8,Rural,50-59,Separated,538,393
5656,8,Rural,60-69,Separated,282,175
5657,8,Rural,70-79,Separated,101,63
5658,8,Rural,80+,Separated,28,15
5659,8,Rural,Age Not Stated,Separated,13,15
5660,8,Urban,All Ages,Separated,1913,2587
5661,8,Urban,Less than 20,Separated,5,9
5662,8,Urban,20-29,Separated,199,263
5663,8,Urban,30-39,Separated,586,761
5664,8,Urban,40-49,Separated,592,855
5665,8,Urban,50-59,Separated,318,454
5666,8,Urban,60-69,Separated,149,187
5667,8,Urban,70-79,Separated,46,47
5668,8,Urban,80+,Separated,11,3
5669,8,Urban,Age Not Stated,Separated,7,8
5670,9,Total,All Ages,Separated,15849,10025
5671,9,Total,Less than 20,Separated,113,68
5672,9,Total,20-29,Separated,1726,664
5673,9,Total,30-39,Separated,4307,2573
5674,9,Total,40-49,Separated,4157,3005
5675,9,Total,50-59,Separated,2602,1830
5676,9,Total,60-69,Separated,1853,1234
5677,9,Total,70-79,Separated,693,412
5678,9,Total,80+,Separated,250,149
5679,9,Total,Age Not Stated,Separated,148,90
5680,9,Rural,All Ages,Separated,12234,5929
5681,9,Rural,Less than 20,Separated,94,45
5682,9,Rural,20-29,Separated,1445,356
5683,9,Rural,30-39,Separated,3296,1457
5684,9,Rural,40-49,Separated,3117,1699
5685,9,Rural,50-59,Separated,1936,1083
5686,9,Rural,60-69,Separated,1494,847
5687,9,Rural,70-79,Separated,554,285
5688,9,Rural,80+,Separated,190,102
5689,9,Rural,Age Not Stated,Separated,108,55
5690,9,Urban,All Ages,Separated,3615,4096
5691,9,Urban,Less than 20,Separated,19,23
5692,9,Urban,20-29,Separated,281,308
5693,9,Urban,30-39,Separated,1011,1116
5694,9,Urban,40-49,Separated,1040,1306
5695,9,Urban,50-59,Separated,666,747
5696,9,Urban,60-69,Separated,359,387
5697,9,Urban,70-79,Separated,139,127
5698,9,Urban,80+,Separated,60,47
5699,9,Urban,Age Not Stated,Separated,40,35
5700,10,Total,All Ages,Separated,3065,3799
5701,10,Total,Less than 20,Separated,32,29
5702,10,Total,20-29,Separated,427,456
5703,10,Total,30-39,Separated,803,1098
5704,10,Total,40-49,Separated,708,1038
5705,10,Total,50-59,Separated,487,568
5706,10,Total,60-69,Separated,381,449
5707,10,Total,70-79,Separated,147,116
5708,10,Total,80+,Separated,51,32
5709,10,Total,Age Not Stated,Separated,29,13
5710,10,Rural,All Ages,Separated,2644,3319
5711,10,Rural,Less than 20,Separated,29,28
5712,10,Rural,20-29,Separated,390,392
5713,10,Rural,30-39,Separated,693,966
5714,10,Rural,40-49,Separated,596,892
5715,10,Rural,50-59,Separated,394,497
5716,10,Rural,60-69,Separated,336,406
5717,10,Rural,70-79,Separated,135,101
5718,10,Rural,80+,Separated,46,27
5719,10,Rural,Age Not Stated,Separated,25,10
5720,10,Urban,All Ages,Separated,421,480
5721,10,Urban,Less than 20,Separated,3,1
5722,10,Urban,20-29,Separated,37,64
5723,10,Urban,30-39,Separated,110,132
5724,10,Urban,40-49,Separated,112,146
5725,10,Urban,50-59,Separated,93,71
5726,10,Urban,60-69,Separated,45,43
5727,10,Urban,70-79,Separated,12,15
5728,10,Urban,80+,Separated,5,5
5729,10,Urban,Age Not Stated,Separated,4,3
5730,11,Total,All Ages,Separated,518,273
5731,11,Total,Less than 20,Separated,2,0
5732,11,Total,20-29,Separated,27,19
5733,11,Total,30-39,Separated,116,72
5734,11,Total,40-49,Separated,153,69
5735,11,Total,50-59,Separated,126,78
5736,11,Total,60-69,Separated,65,21
5737,11,Total,70-79,Separated,24,11
5738,11,Total,80+,Separated,5,3
5739,11,Total,Age Not Stated,Separated,0,0
5740,11,Rural,All Ages,Separated,424,179
5741,11,Rural,Less than 20,Separated,2,0
5742,11,Rural,20-29,Separated,23,8
5743,11,Rural,30-39,Separated,103,47
5744,11,Rural,40-49,Separated,120,44
5745,11,Rural,50-59,Separated,98,49
